"Unique id";"channel_name";"category";"Subcategory";"Customer Remarks";"Order_id";"order_date_time";"Issue_reported at";"issue_responded";"Survey_response_Date";"Customer_City";"Product_category";"Item_price";"connected_handling_time";"Agent_name";"Supervisor";"Manager";"Tenure Bucket";"Agent Shift";"CSAT Score"
"0000978d-8599-4e17-8cf6-28e9faeba4c9";"Inbound";"Returns";"Wrong";"Plz respond quickly";"21c35c66-30b1-4146-92e0-f0460c103f49";"";"29/08/2023 07:29";"29/08/2023 07:36";"29-Aug-23";"Unknown";"Others";0;0;"Sabrina Santiago";"Mia Patel";"Emily Chen";"61-90";"Evening";5
"000146d8-6b83-4e5c-a7b6-95100aad1fcc";"Inbound";"Order Related";"Installation/demo";"";"6698d4b3-5b5c-432d-a7a2-ccdf1b61fbf0";"";"18/08/2023 10:50";"18/08/2023 10:54";"18-Aug-23";"Unknown";"Others";0;0;"Noah Chase";"Evelyn Kimura";"John Smith";"0-30";"Morning";5
"0001f06a-bd9a-4888-9cf9-0a094a15eaf2";"Inbound";"Order Related";"Delayed";"";"b5281075-5dbe-4462-873d-71cef3fade06";"30/07/2023 17:24";"05/08/2023 16:13";"05/08/2023 16:16";"05-Aug-23";"SURAT";"Books & General merchandise";243;0;"Theresa Wilson";"Emma Park";"John Smith";"31-60";"Afternoon";5
"0003411d-d036-4ebc-be1c-54fd85e83697";"Inbound";"Order Related";"Installation/demo";"";"4e2bbeb8-c57e-4a79-8eb6-59f631230cae";"";"23/08/2023 20:22";"24/08/2023 19:31";"24-Aug-23";"Unknown";"Others";0;0;"Stacey Clark";"Zoe Yamamoto";"John Smith";">90";"Afternoon";1
"00053812-fb74-4294-a9d1-5167c5a36c7d";"Inbound";"Returns";"Wrong";"";"58a34f36-82e8-4c25-a340-bedff5ed0a0c";"05/08/2023 11:11";"13/08/2023 19:45";"14/08/2023 09:29";"14-Aug-23";"JAIPUR";"LifeStyle";1649;0;"Anthony Reeves";"Nathan Patel";"Michael Lee";">90";"Night";1
"0005821e-88d1-4efc-981f-33114f4057eb";"Inbound";"Order Related";"Installation/demo";"";"84d64237-b062-40c2-b8e2-cd7941d8deb5";"";"25/08/2023 12:07";"25/08/2023 14:52";"25-Aug-23";"Unknown";"Others";0;0;"Wendy Taylor";"Madison Kim";"Michael Lee";"31-60";"Evening";4
"0005baaa-3006-4ba8-b3e5-35080f0a323c";"Inbound";"Returns";"Reverse Pickup Enquiry";"";"9eef19df-4a51-48d1-a069-082f752920c9";"";"19/08/2023 18:38";"19/08/2023 18:52";"19-Aug-23";"Unknown";"Others";0;0;"Garrett Parker";"Wyatt Kim";"Michael Lee";">90";"Evening";5
"00064265-7bc3-4627-8e36-6e60a4895343";"Inbound";"Order Related";"Delayed";"";"f353c162-3c55-44f7-b98a-f3b759e6c05b";"07/08/2023 21:01";"19/08/2023 12:58";"19/08/2023 13:01";"19-Aug-23";"RAIPUR";"Home Appliences";9999;0;"Anthony Clark";"Austin Johnson";"Michael Lee";"0-30";"Morning";1
"0007a937-e62a-4349-8182-a19ceed868a3";"Inbound";"Returns";"Reverse Pickup Enquiry";"Yes improve the delivery time and update it well";"03654f3d-ccdb-445e-8857-7537420641de";"";"05/08/2023 22:23";"05/08/2023 22:25";"05-Aug-23";"Unknown";"Others";0;0;"Jacqueline Edwards";"Carter Park";"Michael Lee";"31-60";"Evening";5
"0007c5a8-aa33-44a9-be03-d9438407e0e3";"Inbound";"Returns";"Reverse Pickup Enquiry";"";"5048557e-ab5f-481b-b2c3-a10d85c782c9";"";"19/08/2023 18:31";"20/08/2023 12:18";"20-Aug-23";"Unknown";"Others";0;0;"Bruce Banks";"Zoe Yamamoto";"William Kim";"On Job Training";"Morning";5
