timestamp,source_ip_address,destination_ip_address,source_port,destination_port,protocol,packet_length,packet_type,traffic_type,malware_indicators,anomaly_scores,alerts_warnings,attack_type,attack_signature,action_taken,severity_level,user_information,device_information,network_segment,geo_location_data,proxy_information,firewall_logs,ids_ips_alerts,log_source
2020-12-20 18:27:15,159.106.15.28,171.160.153.54,64484,29114,ICMP,315,Control,HTTP,IoC Detected,62.86,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Farhan Karpe,Opera/8.66.(X11; Linux x86_64; li-BE) Presto/2.9.181 Version/12.00,Segment B,"Nagpur, Andhra Pradesh",13.69.245.122,No Log Data,No Alert Data,Firewall
2022-04-19 02:58:43,156.89.134.62,85.126.165.8,44989,16435,ICMP,937,Control,FTP,No IoC Detected,82.3,No Alert Triggered,Malware,Known Pattern B,Ignored,High,Vidur Chhabra,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/28.0.856.0 Safari/531.0",Segment B,"Gandhidham, Meghalaya",218.150.114.133,Log Data,No Alert Data,Firewall
2020-05-01 04:21:21,220.252.131.254,2.51.162.23,62800,26948,ICMP,1481,Data,DNS,IoC Detected,94.15,No Alert Triggered,DDoS,Known Pattern B,Logged,High,Renee Sant,Opera/8.68.(X11; Linux x86_64; ks-IN) Presto/2.9.188 Version/12.00,Segment B,"Kharagpur, Assam",113.180.186.69,Log Data,Alert Data,Firewall
2022-08-11 06:21:53,180.37.30.91,218.197.229.2,57861,63287,UDP,314,Control,FTP,No IoC Detected,58.04,No Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Tiya Chadha,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; cs-CZ) AppleWebKit/534.35.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6534.35.7",Segment C,"Bhimavaram, Assam",?,No Log Data,Alert Data,Server
2022-02-05 15:07:37,24.34.166.189,38.181.23.136,7238,16506,TCP,714,Control,DNS,No IoC Detected,83.52,No Alert Triggered,Malware,Known Pattern B,Blocked,High,Zeeshan Lata,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; sa-IN) AppleWebKit/532.50.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6532.50.5",Segment B,"Bijapur, Telangana",222.82.197.13,Log Data,No Alert Data,Server
2021-05-01 21:26:17,197.81.95.217,1.204.3.185,14847,9390,UDP,1073,Data,HTTP,IoC Detected,52.33,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Riya Saxena,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/38.0.837.0 Mobile/90B381 Safari/534.2",Segment C,"Alappuzha, Maharashtra",?,No Log Data,No Alert Data,Firewall
2022-08-04 20:46:02,220.202.199.252,71.129.34.244,5158,40325,UDP,1450,Control,FTP,IoC Detected,13.83,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Tushar Ranganathan,Opera/8.31.(X11; Linux i686; mhr-RU) Presto/2.9.166 Version/11.00,Segment B,"Suryapet, Himachal Pradesh",119.205.59.21,Log Data,Alert Data,Firewall
2020-03-06 21:29:07,98.81.196.144,160.250.41.19,20060,5111,ICMP,1388,Control,FTP,IoC Detected,70.89,No Alert Triggered,DDoS,Known Pattern A,Ignored,High,Kanav Jani,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1),Segment B,"Shivpuri, West Bengal",45.194.248.131,No Log Data,No Alert Data,Firewall
2022-09-29 05:31:10,130.188.236.81,41.65.179.104,16894,36390,TCP,1273,Control,HTTP,No IoC Detected,30.62,No Alert Triggered,Malware,Known Pattern B,Logged,High,Mamooty Vora,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/6419-07-26 11:57:31 Firefox/3.6.10,Segment A,"Burhanpur, Maharashtra",?,Log Data,Alert Data,Firewall
2023-07-22 08:45:22,18.182.15.233,159.179.188.48,38844,4539,TCP,367,Data,DNS,No IoC Detected,75.03,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Nakul Tella,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_6) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/28.0.876.0 Safari/536.2",Segment A,"Fatehpur, Rajasthan",?,Log Data,Alert Data,Firewall
2020-12-24 23:59:31,92.206.246.207,115.91.113.65,16728,49891,TCP,1352,Control,HTTP,IoC Detected,4.53,No Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Kismat Korpal,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/5.0),Segment A,"Coimbatore, Arunachal Pradesh",?,No Log Data,Alert Data,Firewall
2022-09-18 06:06:24,185.230.126.193,154.184.118.151,46897,11485,UDP,594,Data,HTTP,No IoC Detected,83.82,No Alert Triggered,Intrusion,Known Pattern A,Ignored,Medium,Akarsh Sanghvi,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; lt-LT) AppleWebKit/531.12.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6531.12.4",Segment A,"Dharmavaram, Gujarat",173.232.67.75,No Log Data,No Alert Data,Firewall
2020-06-13 02:32:22,124.236.38.66,62.150.215.46,30643,56141,UDP,534,Control,HTTP,No IoC Detected,46.57,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Heer Goel,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/19.0.864.0 Safari/533.2",Segment A,"Burhanpur, Andhra Pradesh",206.208.198.118,No Log Data,No Alert Data,Firewall
